63	intra	35740.R	35741.R	13	1	1	50111404	50242169	35740.O	35741.O	14	14	-1	1	59683415	59868720	61801455	61973772	50000	80765	1
64	inter	35741.R	35742.R	13	1	1	52306487	52485459	35741.O	35742.O	14	8	1	-1	63541934	63763413	23488522	23597628	50000	128972	1
65	inter	35742.R	35743.R	13	1	1	53161718	53276033	35742.O	35743.O	8	14	-1	1	20129510	23129510	79969334	80036707	50000	64315	1
66	inter	35743.R	35744.R	13	1	1	103039581	103287605	35743.O	35744.O	14	1	1	1	125064825	125194864	43837041	44023886	50000	198024	1
67	inter	35744.R	35745.R	13	1	1	103483914	103583915	35744.O	35745.O	1	8	1	1	44227004	44444151	4275575	4834449	50000	50001	1
68	inter	35747.R	35748.R	14	1	1	25099959	25207192	35747.O	35748.O	14	12	1	1	56874074	56978136	45662997	45787762	50000	57233	1
69	inter	35748.R	35749.R	14	1	1	52201174	52322055	35748.O	35749.O	12	14	1	-1	71977412	72088748	20819924	20939593	50000	70881	1
70	intra	35749.R	35750.R	14	1	1	52548781	52738635	35749.O	35750.O	14	14	-1	1	19772946	20574935	42525945	45525945	50000	139854	1
71	inter	35750.R	35751.R	14	1	1	58579894	58716612	35750.O	35751.O	14	12	1	1	50362362	50809128	71977412	72088748	50000	86718	1
72	intra	35752.R	35753.R	15	1	1	23036601	23964751	35752.O	35753.O	7	7	1	-1	63225122	63355319	69455345	70174311	50000	878150	1
73	intra	35753.R	35754.R	15	1	1	28536067	29157424	35753.O	35754.O	7	7	-1	-1	63225122	63355319	72733760	72838108	50000	571357	1
74	inter	35754.R	35755.R	15	1	1	32528594	32956987	35754.O	35755.O	7	2	-1	1	69455345	70174311	110782617	112128690	50000	378393	1
75	inter	35755.R	35756.R	15	1	1	51248173	51399622	35755.O	35756.O	2	9	1	1	126845218	126978209	53781242	53924456	50000	101449	1
76	intra	35757.R	35758.R	15	1	1	78906872	79092978	35757.O	35758.O	9	9	1	-1	75496932	75616149	90052095	90258626	50000	136106	1
77	inter	35758.R	35759.R	15	1	1	80146839	80303398	35758.O	35759.O	9	7	-1	1	88338361	89147482	87950621	88051633	50000	106559	1
78	intra	35759.R	35760.R	15	1	1	85632414	85879657	35759.O	35760.O	7	7	1	-1	91866292	94308785	87950621	88051633	50000	197243	1
79	inter	35763.R	35764.R	16	1	1	3158490	3333710	35763.O	35764.O	17	16	-1	-1	20733780	23733780	13882905	13990610	50000	125220	1
80	inter	35764.R	35765.R	16	1	1	15147331	15310325	35764.O	35765.O	16	7	-1	-1	748191	3748191	123879311	123803234	50000	112994	-4
81	inter	35765.R	35766.R	16	1	1	15319270	15528874	35765.O	35766.O	7	16	-1	1	123639970	123803234	13882905	13990610	50000	159604	1
82	inter	35766.R	35767.R	16	1	1	16137414	16302815	35766.O	35767.O	16	7	1	1	14402822	14723477	53154276	53287037	50000	115401	1
83	intra	35767.R	35768.R	16	1	1	16338674	16731590	35767.O	35768.O	7	7	1	-1	53289588	53400543	125201367	125153525	50000	342916	-4
84	intra	35768.R	35769.R	16	1	1	18275190	18658156	35768.O	35769.O	7	7	-1	1	123879311	123803234	125201367	125153525	50000	332966	-5
85	intra	35770.R	35771.R	16	1	1	28289524	28440845	35770.O	35771.O	7	7	1	-1	133391307	133544899	133789138	133864769	50000	101321	1
86	intra	35771.R	35772.R	16	1	1	28980948	29711006	35771.O	35772.O	7	7	-1	1	133391307	133544899	133789138	133864769	50000	680058	1
87	inter	35772.R	35773.R	16	1	1	31470748	46743273	35772.O	35773.O	7	8	1	1	135394817	135545649	87574638	87832679	50000	15222525	1
88	intra	35775.R	35776.R	17	1	1	15575804	15781601	35775.O	35776.O	11	11	-1	1	62495800	62629833	62668398	61990866	50000	155797	-4
